function_name,target_entity
con_limit_deviations,"[""item""]"
com_unit_missingness,"[""observational_unit""]"
com_item_missingness,"[""item""]"
com_qualified_item_missingness,"[""item""]"
com_segment_missingness,"[""segment""]"
acc_univariate_outlier,"[""item""]"
acc_multivariate_outlier,"[""variable_group""]"
acc_end_digits,"[""item""]"
acc_margins,"[""item""]"
acc_shape_or_scale,"[""item""]"
acc_loess,"[""item""]"
acc_varcomp,"[""item""]"
acc_distributions,"[""item""]"
com_qualified_segment_missingness,"[""segment""]"
acc_distributions_loc,"[""item""]"
acc_distributions_loc_ecdf,"[""item""]"
acc_distributions_prop,"[""item""]"
acc_distributions_prop_ecdf,"[""item""]"
acc_distributions_only,"[""item""]"
acc_distributions_only_ecdf,"[""item""]"
acc_robust_univariate_outlier,"[""item""]"
des_summary,"[""item""]"
des_scatterplot_matrix,"[""variable_group""]"
acc_distributions_ecdf,"[""item""]"
int_encoding_errors,"[""item""]"
con_contradictions_redcap,"[""variable_group""]"
con_contradictions,"[""variable_group""]"
int_all_datastructure_segment,"[""segment""]"
int_all_datastructure_dataframe,"[""dataframe""]"
int_datatype_matrix,"[""item""]"
con_inadmissible_categorical,"[""item""]"
des_summary_categorical,"[""item""]"
acc_repeated_measurements,"[""variable_group""]"
con_inadmissible_vocabulary,"[""item""]"
con_attention_check_items,"[""variable_group""]"
acc_mahalanobis_ratio,"[""variable_group""]"
con_ssi_range_check,"[""variable_group""]"
des_summary_continuous,"[""item""]"
acc_mahalanobis,"[""variable_group""]"
acc_cat_distributions,"[""item""]"
